gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
b0307	1647.570522907916	-3.750056657655308	0.21411993013144212	-17.648849189095454	1.0385084943003066e-69	1.4270539137195593e-67
b0344	1893.8411243165895	-2.463427141820737	0.14280906942617605	-17.364719084843998	1.5264512490119717e-67	2.0276360757709025e-65
b3506	2614.0896888515613	3.6594546051539516	0.2247989844413205	16.419644537768793	1.3837497788058817e-60	1.7787880221101418e-58
b3917	538.1979059977409	-3.866685532598643	0.24180400934509708	-16.116011337381615	1.9691583501378755e-58	2.452217507906073e-56
b4377	3179.3772925970666	3.145472744680635	0.19712185205745197	16.084875366538252	3.257071148562118e-58	3.933160159703042e-56
b0679	10570.742164814324	-2.442484641996018	0.15471258320768724	-15.917058872499533	4.825320215207348e-57	5.655559134588613e-55
b2789	219.54876478914892	-4.296541130134945	0.2784822578648697	-15.56111649411902	1.3374532143181754e-54	1.522786016873694e-52
b1110	295.5088403819406	5.486297189118178	0.3698189929584704	15.262196698179487	1.3657211010169247e-52	1.5117773854312346e-50
b0608	409.72930599804425	3.4413343022005645	0.2280797753507394	15.23024368032842	2.227597070718828e-52	2.3991822504904135e-50
b1498	2329.8960176184787	-3.894237371462969	0.25936695096767454	-15.16292597824679	6.223390580150425e-52	6.526371437341959e-50
b2053	252.33266408523278	4.213431557117737	0.2818615482579633	15.048946900201628	3.5077370194444423e-51	3.58418769807336e-49
b1732	16542.598615280232	2.077332626807586	0.1441866583942674	14.535430412031014	7.225793029770593e-48	7.198696305908954e-46
b3116	462.5159152207089	-2.7665118928263737	0.19366968644919447	-14.412414661814735	4.323270804581134e-47	4.2020083307941017e-45
b0308	1040.8951914551271	-3.9160828109481596	0.27553452085291835	-14.38914859835782	6.053654498699583e-47	5.743765042218533e-45
b4484	1627.1065213457143	2.460642317550065	0.17255056707429814	14.375073896743269	7.41908287348373e-47	6.875591918798295e-45
b4310	572.2197634364383	-3.3507052689051604	0.23710164992264532	-14.275773207789381	3.098321840891221e-46	2.8060937581707987e-44
b3517	24146.891773887895	6.629989518032938	0.4703461311665869	14.26995738523344	3.3678435507122222e-46	2.982412566575157e-44
b3117	197.80252503336786	-4.1135037431334265	0.29386664221966396	-14.177468731237637	1.2632140763204175e-45	1.0943278465514922e-43
b3829	1562.8833991048748	2.304839602192245	0.16514778156167645	14.101773506123422	3.7034406549624417e-45	3.1400448957500702e-43
b4240	43484.24971643942	-3.4065344277532015	0.2449165292718839	-14.074034169410517	5.4849120616841735e-45	4.5536197012107145e-43
b4321	310.6362467236619	-2.648915969612506	0.19073863851830505	-14.045715432519303	8.183772490014557e-45	6.655578239328165e-43
b4026	135.9619358592735	4.985652036414312	0.3600948814881519	14.044186265715144	8.362338402647423e-45	6.664783706909996e-43
b3507	203.23824156392152	5.080551812583962	0.3607235628332081	13.977686635184552	2.1330955009357632e-44	1.6667422688684345e-42
b4189	1782.6032674288065	-3.0911193900995895	0.22433816103824755	-13.945589847689067	3.3466969382582556e-44	2.564728326722913e-42
b3528	12913.05416889573	-1.9141902306949874	0.13863618510519124	-13.94287384210119	3.476546113951383e-44	2.6139691064332566e-42
b2148	4825.6796928401745	-3.561410687723277	0.2603908205493677	-13.843110494346023	1.4001423915082126e-43	1.0332532278074495e-41
b0343	261.6366620432246	-2.7932079400140495	0.2052853714974553	-13.758167326146625	4.54912982428267e-43	3.296051336321171e-41
b2705	5656.551234511495	-3.0240444426082345	0.22453940646030707	-13.630760786016454	2.6282600709590472e-42	1.8702886397806795e-40
b0487	406.8059820250548	2.5811437202051635	0.1920549850267201	13.543701440945481	8.632700288460829e-42	6.035317657809895e-40
b1467	902.2314953066458	2.0308890146774927	0.15292623705512945	13.40719572918296	5.487481347500206e-41	3.770278132722125e-39
b3115	168.5655367274207	-3.0458566627970156	0.23503397328511796	-13.128987307205287	2.24640514800843e-39	1.5172753414938295e-37
b2702	2058.9489131768473	-2.7154177102802253	0.2100342591720015	-13.087662112599633	3.873475707653319e-39	2.572633449166413e-37
b4378	1013.161887857723	2.8799290286370844	0.22513590949868867	12.92577022711791	3.220552390055047e-38	2.1039182416998954e-36
b4187	1684.6463798704272	2.8237037138767715	0.22194267994535932	12.896752344270897	4.694688013148645e-38	3.017472860064089e-36
b0837	625.965244688817	2.042547755215113	0.16080116977604278	12.856082375388263	7.950514481097347e-38	5.029015905900464e-36
b2703	4209.065806599833	-2.601833015014945	0.20697934104792914	-12.734207404452606	3.817026293963966e-37	2.3766952783510008e-35
b2149	3538.0068314106306	-3.4476963387066184	0.27711570130029733	-12.621160294844888	1.6142516861297817e-36	9.896604568041815e-35
b4139	18377.177652030008	-1.8732609935969926	0.15046668047660533	-12.592472671308014	2.3228128653911455e-36	1.4024862528157143e-34
b4239	22176.786892112726	-2.808935561756931	0.22742956537884532	-12.51194173847781	6.423457851918509e-36	3.8205193343127254e-34
b1257	202.58436699919363	3.1507305292760597	0.2553007222945255	12.508901231995258	6.6741017339065e-36	3.91121991317903e-34
b2803	477.7319846101177	-2.0976880335702224	0.1732653095017731	-12.268220316046545	1.3417000950139211e-34	7.638106969472109e-33
b3041	1347.004195745368	-2.2257174033411027	0.18388013749756119	-12.26848531213379	1.3373167083221873e-34	7.638106969472109e-33
b1951	105.38427718592057	3.862163182585648	0.3168777349670356	12.226601987409186	2.2411936130938443e-34	1.2579093729829535e-32
b2802	914.7722084963788	-2.048084418076155	0.1700285704487157	-12.194358725924989	3.33116013377362e-34	1.8437046018177604e-32
b2060	124.07842418315583	4.333702084437162	0.36177567435085023	12.153702276630852	5.482545363129605e-34	2.992868941379654e-32
b2797	1963.4483300037257	-1.7445191107679263	0.1461693372445557	-12.081179392039644	1.3280109350448138e-33	7.151518346153491e-32
b2076	568.5917254503108	1.895675100617301	0.16113656290237136	11.921973513962946	9.092876350242975e-33	4.831348300762434e-31
b1497	152.7864961089081	-4.80602678180204	0.413832811528965	-11.760508973889213	6.23572489226213e-32	3.269653117850604e-30
b1283	186.77822962376726	2.832318478508417	0.24696911558737542	11.728039939455858	9.1554199522296e-32	4.7382270791733715e-30
b3403	21762.41633109006	-1.5149345659687161	0.1309748714814313	-11.703453816066606	1.2236947769284921e-31	6.2518252385385144e-30
b0379	89.46623249087865	4.374084180491497	0.3738197577283581	11.664014680194043	1.9464340314583883e-31	9.818404576407186e-30
b3846	1829.5358750078215	-2.1007423319335095	0.1842222218566855	-11.573376076514402	5.622581741969459e-31	2.800748530218537e-29
b2704	1589.3463372383376	-2.6457797071177307	0.233167707251878	-11.530731649997826	9.235546621342047e-31	4.488250400737568e-29
b1014	53206.86725847754	-2.6025509064360386	0.22942965877671742	-11.530789882025415	9.22930147326897e-31	4.488250400737568e-29
b1621	541.6956601859582	-2.3409402250872753	0.20638065746478043	-11.528002662167626	9.532972408790862e-31	4.576975307112239e-29
b3661	419.51705935831677	-1.9540473247220862	0.17202645293775476	-11.514189598012795	1.1190662508726132e-30	5.308903583008766e-29
b4711	816.1538446208942	-1.624890154028722	0.14350959032810023	-11.468973639711496	1.8888624371756994e-30	8.855431543700191e-29
b3603	23570.17516955924	-2.9503454810302934	0.2627125388958527	-11.434989839295648	2.7956943754859e-30	1.2954467542222454e-28
b1612	7933.136169127276	-1.6348535642375643	0.14521001525173827	-11.407320810323048	3.843869745524691e-30	1.7606690730937808e-28
b3218	822.33197823093	-1.598520989885938	0.14254849941779146	-11.359833082356149	6.627113795606985e-30	3.001028235851572e-28
b4290	1186.2025791633848	-2.2765784001310254	0.20447901016544595	-11.317985320193053	1.0690042496402093e-29	4.786496555973297e-28
b2679	1999.3116524741415	-1.9566515670141307	0.17678896434634095	-11.234462368115558	2.7616987145472145e-29	1.222818819718961e-27
b4518	309.53427002524694	3.063869764581604	0.2768306694463355	11.176445882937186	5.317722961325147e-29	2.328695164931946e-27
b2075	1122.554433860714	2.0103305677025456	0.18233197016636352	11.173555152766824	5.493709993918728e-29	2.37961242671371e-27
b2426	1467.35272867064	-1.9911596513560659	0.18115473110080843	-11.160243148923257	6.381679483522227e-29	2.7345153485845243e-27
b2192	805.0037141512917	-1.585881793587042	0.1440227187073738	-11.159118419979713	6.462925948953936e-29	2.7398680751682376e-27
b1536	142.8452120332685	2.9012926136099724	0.2648340570817364	11.145775411697878	7.508736821089043e-29	3.1497174981094563e-27
